old_bitcoin_address,,,btc_amount,usd amount
1D2qWvVkgCRNncCFKpU9Fjdvz2UxZVK8JS,,,0.0,0.0
31iAs9DasSas3AXZWR9d5WuYxEhe183wfV,,,0.0,0.0
31iCTFexVS7NQbhPJkpSSxEf6c2LYuVUnk,,,0.0,0.0
31iVeg1AkuFHc3J2pnUeoGD5dNUhqjtRoJ,,,0.0,0.0
31ieYSgibomnRtqNMhwYXTkMQAmRLLvRs6,,,0.0,0.0
31im2ZUroqTf5uyHoqoC2JeQZzUGnwRtNX,,,0.0,0.0
31imgWCPVimmJaNCwCZDqhogCr98y1vec7,,,0.0,0.0
31jB2DtuYVYb8VkVbuxtr22UJ3CL8P3YBW,,,0.0,0.0
31jcf9XPzPUsrXYd9retm8fwEZoMPMqnuM,,,0.0,0.0
31jybvvPMyS6T3UPZQaJA2VL7RtX3sJXxT,,,0.0,0.0
31k43zeCRJysi81QeSVZH3mJ9ikQyUDsDu,,,,
31kF2Rv4gu3h5pNgoQmZ76LsRyAuAfQ3Qz,,,,
31kJh4VgcC1J83RvSURxS8Zi4WE6FxPAqz,,,,
31kL1xoaCvepMh5GnmrdNUsqLPRDMt7Yea,,,,
31m3NCiXwaVtp2csbggG2oaCsEZCQX354h,,,,
31mpsFc4bBTCbytuWgn6Ta5cQw5htkoaiZ,,,,
31mrbswuGEejxRfqD3F8BdzKC3kZzuS4qN,,,,
31myccLyyRPMos3ocvyUx2GWJrTEbnwYRN,,,,
31nJCYNCW2XhfRMUSVdS7xKAmPouEjWjFm,,,,
31nSQj66ywBQ1W3f4qkTetCYsVubcqhQLG,,,,
31nnEUQgdEMQ6f5Hk12h5Z6GqSDUXjdfCW,,,,
31o1E1qjbUFgrieecYWBF4TQK4GXKQpdQE,,,,
31o9WP5WSGu9KUquPKQYUzokeGdZFKporh,,,,
31oDQW3omHXiydtoTh9zuaf2UQh7BGHuAG,,,,
31oHXgqt8rZCkNAKpLDrptwQhWKepxSsyt,,,,
31oRa5V3C2mG5GbRCHqLn3TXwnsYA1rdBt,,,,
31onQfpncqKxmHwu1NS1FApzP7QT18SiGq,,,,
31osgfAb16UdvEy13H7KAcTupmHdHsZZAQ,,,,
31ot9WNeL7bSpTMwaUiHuWxZJLnALUZmBt,,,,
31pe7r9WVFMioi5ABiHELqmVZeS5aAmdvC,,,,
31pkN41EBpeWNKVhcQWUfhJKjZf5U6oead,,,,
31pq43He14dQJA3gGgT7qXzrUUmir4o6eH,,,,
31ps5j6GqDW7bJRNtvrg8gKU8X76NLY6Mr,,,,
31q5JLhUSL9XbcTXeDe9zbUSY8LFosL8SP,,,,
31r3f5WqQ8DUS59UoNDCa7hmkK6toTyqEo,,,,
31r5JsNCafHxkRiUdcWNvgRJQZvdm8sQB2,,,,
31rMvdi8WMxWWAQ3WchjJWNq8EQ6ZVRzRh,,,,
31rb6vuVgZGKa3Gu9HeMzEeak855MfHduD,,,,
